subj,possible_vocab,vocab,type,word,avg_known,understands,ci_lower,ci_upper
20,85,60,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
21,85,57,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
21,85,57,early,cat,1,TRUE,1,1
21,85,57,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
21,85,57,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
21,85,57,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
21,85,57,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
21,85,57,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
21,85,57,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
21,85,57,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
21,85,57,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
21,85,57,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
21,85,57,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
21,85,57,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
21,85,57,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
21,85,57,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
21,85,57,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
22,85,66,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
22,85,66,early,cat,1,TRUE,1,1
22,85,66,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
22,85,66,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
22,85,66,late,donkey,0.34146341463414637,TRUE,0.1944220430107527,0.4864864864864865
22,85,66,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
22,85,66,early,elephant,0.8780487804878049,FALSE,0.7735849056603774,0.9714484126984128
22,85,66,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
22,85,66,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
22,85,66,late,leopard,0.21951219512195122,TRUE,0.09085858585858586,0.3571886446886447
22,85,66,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
22,85,66,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
22,85,66,late,raccoon,0.3902439024390244,TRUE,0.23809523809523808,0.5428726708074534
22,85,66,late,rhinoceros,0.4634146341463415,TRUE,0.31242559523809527,0.6216216216216216
22,85,66,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
22,85,66,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
23,85,48,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
23,85,48,early,cat,1,TRUE,1,1
23,85,48,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
23,85,48,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
23,85,48,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
23,85,48,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
23,85,48,early,elephant,0.8780487804878049,FALSE,0.7735849056603774,0.9714484126984128
23,85,48,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
23,85,48,early,horse,0.9024390243902439,FALSE,0.8,0.9800192307692307
23,85,48,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
23,85,48,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
23,85,48,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
23,85,48,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
23,85,48,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
23,85,48,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
23,85,48,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
24,85,67,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
24,85,67,early,cat,1,TRUE,1,1
24,85,67,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
24,85,67,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
24,85,67,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
24,85,67,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
24,85,67,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
24,85,67,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
24,85,67,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
24,85,67,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
24,85,67,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
24,85,67,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
24,85,67,late,raccoon,0.3902439024390244,TRUE,0.23809523809523808,0.5428726708074534
24,85,67,late,rhinoceros,0.4634146341463415,TRUE,0.31242559523809527,0.6216216216216216
24,85,67,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
24,85,67,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
25,85,75,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
25,85,75,early,cat,1,TRUE,1,1
25,85,75,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
25,85,75,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
25,85,75,late,donkey,0.34146341463414637,TRUE,0.1944220430107527,0.4864864864864865
25,85,75,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
25,85,75,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
25,85,75,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
25,85,75,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
25,85,75,late,leopard,0.21951219512195122,TRUE,0.09085858585858586,0.3571886446886447
